0,0.001621
1,0.001044
2,0.000000
3,0.000000
4,0.000000
5,0.000567
6,0.004373
7,0.010812
8,0.010812
9,0.008244
10,0.006938
11,0.000900
12,0.000643
13,0.000643
14,0.000435
15,0.002106
16,0.001118
17,0.000000
18,0.002707
19,0.000628
20,0.007793
21,0.006776
22,0.000530
23,0.004079
24,0.000249
25,0.000182
26,0.000182
27,0.000467
28,0.007991
29,0.000267
30,0.004471
31,0.010228
32,0.005252
33,0.000170
34,0.000239
35,0.000000
36,0.000282
37,0.000155
38,0.005355
39,0.000000
40,0.001962
41,0.000570
43,0.000047
44,0.000617
45,0.001467
46,0.001467
47,0.000000
48,0.000000
49,0.000000
50,0.000000
51,0.000000
52,0.010469
53,0.000000
54,0.000000
55,0.000000
56,0.000000
57,0.007205
58,0.007205
59,0.012108
60,0.002454
61,0.002454
62,0.084105
63,0.023012
64,0.171424
65,0.000000
66,0.000000
67,0.010469
68,0.039439
69,0.002766
70,0.002766
71,0.062556
72,0.009946
73,0.094350
74,0.000112
75,0.010469
76,0.000000
77,0.010037
78,0.005667
79,0.002130
80,0.000772
81,0.009778
82,0.010446
83,0.013978
84,0.021235
85,0.008125
86,0.006525
87,0.019003
88,0.023993
89,0.042241
90,0.001395
91,0.016304
92,0.014499
93,0.052526
94,0.003677
95,0.000000
96,0.014142
97,0.014142
98,0.006249
99,0.029856
101,0.021078
102,0.006013
100,0.000000
103,0.000000
104,0.000000
105,0.000000
106,0.000000
107,0.000000
108,0.000000
109,0.000000
110,0.000000
111,0.000000
112,0.000000
113,0.000000
114,0.000000
115,0.000000
116,0.000000
117,0.000000
118,0.000000
119,0.000000
120,0.000000
